scientific_name,wikipedia_page,image_url,thumb_url,license,author,attribution_line,notes,approved
Acanthoscurria brocklehursti,https://en.wikipedia.org/wiki/Acanthoscurria_theraphosoides,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Acanthoscurria_theraphosoides_Slonghorn_1_IMG_9695.JPG/3840px-Acanthoscurria_theraphosoides_Slonghorn_1_IMG_9695.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Acanthoscurria_theraphosoides_Slonghorn_1_IMG_9695.JPG/330px-Acanthoscurria_theraphosoides_Slonghorn_1_IMG_9695.JPG,,,,NO_PAGEIMAGE_FILENAME,y
Acanthoscurria geniculata,https://en.wikipedia.org/wiki/Brazilian_whiteknee_tarantula,https://upload.wikimedia.org/wikipedia/commons/9/9d/%28Pet%29_Brazilian_whiteknee_tarantula_%28Theraphosidae%2C_Acanthoscurria_geniculata%29_%2836668450563%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/%28Pet%29_Brazilian_whiteknee_tarantula_%28Theraphosidae%2C_Acanthoscurria_geniculata%29_%2836668450563%29.jpg/330px-%28Pet%29_Brazilian_whiteknee_tarantula_%28Theraphosidae%2C_Acanthoscurria_geniculata%29_%2836668450563%29.jpg,,,,NO_PAGEIMAGE_FILENAME,y
Aphonopelma hentzi,https://en.wikipedia.org/wiki/Texas_brown_tarantula,https://upload.wikimedia.org/wikipedia/commons/e/e9/Texas_Brown_Tarantula.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Texas_Brown_Tarantula.jpg/330px-Texas_Brown_Tarantula.jpg,,,,NO_PAGEIMAGE_FILENAME,y
Augacephalus ezendami,https://en.wikipedia.org/wiki/Augacephalus_ezendami,,,,,,NO_PAGE_IMAGE,y
Avicularia avicularia,https://en.wikipedia.org/wiki/Avicularia_avicularia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/AVICULARIA_AVICULARIA.JPG/3840px-AVICULARIA_AVICULARIA.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/AVICULARIA_AVICULARIA.JPG/330px-AVICULARIA_AVICULARIA.JPG,CC BY-SA 3.0,Luis Alejandro Cisneros,Own work,,y
Avicularia juruensis,https://en.wikipedia.org/wiki/Avicularia_juruensis,https://upload.wikimedia.org/wikipedia/commons/f/fc/Avicularia_juruensis_female_morphotype_2_ZK120.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Avicularia_juruensis_female_morphotype_2_ZK120.jpg/330px-Avicularia_juruensis_female_morphotype_2_ZK120.jpg,CC BY 3.0,"original: R. C. West

processed image: Peter Coxhead","Fukushima, C.S.; Bertani, R. (2017), “Taxonomic revision and cladistic analysis of Avicularia Lamarck, 1818 (Araneae, Theraphosidae, Aviculariinae) with description of three new aviculariine genera”, in ZooKeys, volume 659, DOI:10.3897/zookeys.659.10717, pages 1–185, p. 84, fig. 120; cropped and processed to remove label",,y
Avicularia metallica,https://en.wikipedia.org/wiki/Avicularia_metallica,https://upload.wikimedia.org/wikipedia/commons/3/36/Avicularia_Metallica.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Avicularia_Metallica.jpg/330px-Avicularia_Metallica.jpg,Public domain,Psychonaught,Own work,,y
Avicularia minatrix,https://en.wikipedia.org/wiki/Avicularia_minatrix,https://upload.wikimedia.org/wikipedia/commons/3/34/Avicularia_minatrix_female_ZK88.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Avicularia_minatrix_female_ZK88.jpg/330px-Avicularia_minatrix_female_ZK88.jpg,CC BY 3.0,"original: J. Huff

processed image: Peter Coxhead","Fukushima, C.S.; Bertani, R. (2017), “Taxonomic revision and cladistic analysis of Avicularia Lamarck, 1818 (Araneae, Theraphosidae, Aviculariinae) with description of three new aviculariine genera”, in ZooKeys, volume 659, DOI:10.3897/zookeys.659.10717, pages 1–185, p. 74, fig. 88; cropped and processed to remove label",,y
Avicularia purpurea,https://en.wikipedia.org/wiki/Avicularia_purpurea,https://upload.wikimedia.org/wikipedia/commons/f/f9/Avicularia_purpurea_female_southern_form_ZK170.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Avicularia_purpurea_female_southern_form_ZK170.jpg/330px-Avicularia_purpurea_female_southern_form_ZK170.jpg,CC BY 3.0,"original: R. C. West

processed: P. Coxhead","Fukushima, C.S.; Bertani, R. (2017), “Taxonomic revision and cladistic analysis of Avicularia Lamarck, 1818 (Araneae, Theraphosidae, Aviculariinae) with description of three new aviculariine genera”, in ZooKeys, volume 659, DOI:10.3897/zookeys.659.10717, pages 1–185, p. 102, fig. 170; cropped and label removed",,y
Brachypelma auratum,https://en.wikipedia.org/wiki/Brachypelma_auratum,https://upload.wikimedia.org/wikipedia/commons/5/54/Brachypelma_auratum_kiel.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Brachypelma_auratum_kiel.png/330px-Brachypelma_auratum_kiel.png,CC BY-SA 3.0,Ruben Kiel Alvarado,Own work,,y
