scientific_name_lower,taxon,status,license,attribution,image_url,commons_file
aphonopelma seemanni,tarantula,verified,CC BY 2.0,"scragz (Flickr), CC BY 2.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/5/50/Aphonopelma_seemanni_front_view.jpg,Aphonopelma seemanni front view.jpg
lasiodora klugi,tarantula,verified,CC BY 3.0,"Michael Gäbler, CC BY 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/4/46/Lasiodora_klugi_%28C._L._Koch%2C_1841%29.jpg,"Lasiodora klugi (C. L. Koch, 1841).jpg"
neoholothele incei,tarantula,verified,CC BY-SA 2.5,"universoaracnido.com, CC BY-SA 2.5, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/b/bd/HOLOTHELE_INCEI_HEMBRA_GRAVIDA.jpg,HOLOTHELE INCEI HEMBRA GRAVIDA.jpg
pachistopelma bromelicola,tarantula,verified,CC BY 3.0,"R. Bertani / P. Coxhead, CC BY 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/c/c3/Pachistopelma_bromelicola_female.jpg,Pachistopelma bromelicola female.jpg
poecilotheria vittata,tarantula,verified,CC BY-SA 3.0,"Hectonichus, CC BY-SA 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/f/ff/Theraphosidae_-_Poecilotheria_vittata.JPG,Theraphosidae - Poecilotheria vittata.JPG
augacephalus breyeri,tarantula,verified,CC BY 4.0,"Trey Philips (iNaturalist), CC BY 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/b/bf/Augacephalus_breyeri_112201737.jpg,Augacephalus breyeri 112201737.jpg
avicularia rufa,tarantula,verified,CC BY 3.0,"R. Bertani / P. Coxhead, CC BY 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/a/a4/Avicularia_rufa_female_ZK145.jpg,Avicularia rufa female ZK145.jpg
avicularia merianae,tarantula,verified,CC BY 3.0,"H.-W. Auer / P. Coxhead, CC BY 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/3/3d/Avicularia_merianae_female_ZK199.jpg,Avicularia merianae female ZK199.jpg
caribena laeta,tarantula,verified,CC BY 3.0,"R. C. West / P. Coxhead, CC BY 3.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/e/ee/Caribena_laeta_female_no_arrow_ZK241.jpg,Caribena laeta female no arrow ZK241.jpg
psalmopoeus victori,tarantula,verified,CC BY-SA 4.0,"Quengsalinas, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/c/ca/Psalmopoeus_victori_mature_female.jpg,Psalmopoeus victori mature female.jpg
ceratogyrus meridionalis,tarantula,verified,CC BY-SA 4.0,"Syrio, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/f/f6/Spiders_Genova_-_Ceratogyrus_meridionalis_2.jpg,Spiders Genova - Ceratogyrus meridionalis 2.jpg
harpactira cafreriana,tarantula,verified,CC BY-SA 4.0,"jacquesmerwe923, CC BY-SA 4.0, via Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/5/50/Harpactira_cafreriana.jpg,Harpactira cafreriana.jpg
